epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mcc,train_sample_count,validation_sample_count,train_elapsed_seconds,validation_elapsed_seconds,improved
1,0.003,0.3239408137162363,0.8944414362923523,0.6563410352170524,0.8856997194655108,0.12449210087076383,0.9510159130916153,0.7460043681403277,0.9352582411306956,0.8840937220982099,1595664,341417,4.4157538000145,0.8326533999643289,True
2,0.003,0.20748172011011135,0.942682168677115,0.6914556733856122,0.9218472394192533,0.1340086762844826,0.9296256484006362,0.8449093504109065,0.9396912769428721,0.8576408353205134,1595664,341417,5.205117899982724,1.0315261000068858,True
3,0.003,0.20079912781897857,0.948182700117318,0.7750309955547546,0.9392178577924765,0.07467757704288965,0.9534645316431226,0.7481341422719653,0.9376321326314526,0.8903788498822865,1595664,341417,5.650989799993113,1.019036200013943,False
4,0.003,0.07984459390242243,0.9812899206850565,0.9380611241571727,0.9809908563258097,0.3413806523879929,0.8799532536458349,0.7921691740029249,0.9052310436416838,0.7903814694615404,1595664,341417,5.610924499982502,1.0347264999873005,False
5,0.003,0.14380700179474995,0.9579535541316969,0.8475022566114504,0.9552619245592551,0.046385688256707594,0.9854693820167127,0.9475608914730138,0.9845842676881664,0.9658856531532305,1595664,341417,5.665962100028992,1.0446830000146292,True
6,0.003,0.06903179868812667,0.9824781407614636,0.9457614239085133,0.9821341500412026,0.10318356778641724,0.9646678402071367,0.9076011034765976,0.9678128573564563,0.9236691744605539,1595664,341417,5.916249000001699,1.0314042000100017,False
7,0.003,0.03433732798905918,0.9894664540905855,0.9643137013873924,0.9892998728346333,0.018159690288161844,0.9936997864781192,0.9784338600584559,0.9935622250119074,0.9852281458599997,1595664,341417,5.773675900010858,1.0355902999872342,True
8,0.003,0.02221804410384394,0.9926124798203131,0.9747999069845014,0.9924970178639747,0.02332313711728056,0.9934361792177894,0.9774017711298456,0.9933005172624458,0.9846055070187626,1595664,341417,5.709921300003771,1.0375824000220746,False
9,0.003,0.11021481766712479,0.9766567397647625,0.9245602828693281,0.9768221778146293,0.32615268433930034,0.9535143241256293,0.7456798622534931,0.9373947974208825,0.8905709755271379,1595664,341417,5.950243700004648,1.0142827000236139,False
10,0.003,0.055884142595012225,0.9783914408045804,0.9283169102757999,0.9780858919589981,0.03225410055518253,0.9929206805753668,0.9760290675673485,0.9927767070911312,0.9833928592808833,1595664,341417,5.754463599994779,1.0351226999773644,False
11,0.003,0.031478740108538406,0.9881347200914479,0.9600415451831301,0.9879758493682577,0.12383696604065153,0.9671603933020324,0.9143108254407527,0.9699880565995435,0.9291081485904622,1595664,341417,5.761380699987058,1.0445669000037014,False
