profile,primary_profile,architecture,variant,candidate_role,representation,role_gate_passed,fragility_gate_passed,mean_macro_f1_gate_passed,worst_seed_macro_f1_gate_passed,raw_weighted_macro_f1_gate_passed,deployment_improvement_gate_passed,deployment_improvement_count,state_size_improved,batch_1_latency_improved,batch_32_throughput_improved,maximum_mean_macro_f1_loss,maximum_worst_seed_macro_f1_loss,maximum_mean_raw_weighted_macro_f1_loss,observed_mean_macro_f1_loss,observed_worst_seed_macro_f1_loss,observed_mean_raw_weighted_macro_f1_loss,eligible,failed_gate_count,failed_gates
balanced,True,tinyml_mlp,P25-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,3,True,True,True,0.002,0.005,0.003,-2.049046561070078e-05,0.00011111563831711635,-2.3560341798178897e-05,True,0,
balanced,True,tinyml_mlp,P50-noFT,compressed_candidate,float32,True,False,False,False,False,True,3,True,True,True,0.002,0.005,0.003,0.2167531168561051,0.34321160824313823,0.17466852388372922,False,4,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,tinyml_mlp,P50-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,3,True,True,True,0.002,0.005,0.003,0.00029497128675737283,0.000489700801963644,0.0005463307033787279,True,0,
balanced,True,tinyml_mlp,DQ,compressed_candidate,dynamic_int8,True,False,False,False,False,True,1,True,False,False,0.002,0.005,0.003,0.15869928928252464,0.16852675239104087,0.1933099723296452,False,4,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,tinyml_mlp,QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.002,0.005,0.003,0.001038205670138459,0.0015393966604354548,0.0009907053243045638,True,0,
balanced,True,tinyml_mlp,P25-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.002,0.005,0.003,0.001186291643116455,0.0016187564323267845,0.001390905325969305,True,0,
balanced,True,tinyml_mlp,P50-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.002,0.005,0.003,0.001393040557715941,0.002246463325223047,0.0015090728660732688,True,0,
balanced,True,tinyml_mlp,PTQ,compressed_candidate,static_int8,True,True,False,False,False,True,1,True,False,False,0.002,0.005,0.003,0.005398274526789315,0.01877515674443231,0.008100539039438859,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,compact_dnn,B0,baseline_reference,float32,False,True,True,True,True,False,0,False,False,False,0.002,0.005,0.003,0.0,0.0,0.0,False,2,candidate_role;deployment_improvement
balanced,True,compact_dnn,FP32-FT,uncompressed_control,float32,False,True,True,True,True,False,0,False,False,False,0.002,0.005,0.003,-1.581612188783499e-05,3.726443534168844e-05,-2.507165010889878e-05,False,2,candidate_role;deployment_improvement
balanced,True,compact_dnn,P25-noFT,compressed_candidate,float32,True,True,True,True,True,True,2,True,False,True,0.002,0.005,0.003,0.0004299064427210064,0.0007345232194437834,-0.00016868253989688053,True,0,
balanced,True,compact_dnn,P25-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,2,True,False,True,0.002,0.005,0.003,8.33285120384053e-05,0.0001499886913720605,0.0001721076831955326,True,0,
balanced,True,compact_dnn,P50-noFT,compressed_candidate,float32,True,False,False,False,False,True,2,True,False,True,0.002,0.005,0.003,0.08101426822651858,0.3215203724946807,0.051823161455709976,False,4,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,compact_dnn,P50-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,3,True,True,True,0.002,0.005,0.003,0.00045681955734921953,0.0005996951923764593,0.0005769367044059504,True,0,
balanced,True,compact_dnn,DQ,compressed_candidate,dynamic_int8,True,True,False,False,False,True,1,True,False,False,0.002,0.005,0.003,0.09383850803015259,0.11447202836193981,0.1163465011251954,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,compact_dnn,QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.002,0.005,0.003,0.001153493723294985,0.0020880175654773847,0.0008472926285966187,True,0,
balanced,True,compact_dnn,P25-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.002,0.005,0.003,0.0010166886493138128,0.0012147359499181665,0.000983456668523286,True,0,
balanced,True,compact_dnn,P50-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.002,0.005,0.003,0.0016363633041569514,0.001970568082962476,0.0018347859870055938,True,0,
balanced,True,compact_dnn,PTQ,compressed_candidate,static_int8,True,True,False,False,False,True,1,True,False,False,0.002,0.005,0.003,0.0038641058781394566,0.010120999961309773,0.005704207695391261,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,B0,baseline_reference,float32,False,True,True,True,True,False,0,False,False,False,0.005,0.01,0.007,0.0,0.0,0.0,False,2,candidate_role;deployment_improvement
relaxed,False,tinyml_mlp,FP32-FT,uncompressed_control,float32,False,True,True,True,True,True,2,False,True,True,0.005,0.01,0.007,-0.0001383960464739209,-7.696068569840175e-05,-0.0002415955274587267,False,1,candidate_role
relaxed,False,tinyml_mlp,P25-noFT,compressed_candidate,float32,True,True,False,False,False,True,3,True,True,True,0.005,0.01,0.007,0.04230242149086916,0.110241293160661,0.02442790161981989,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,P25-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,3,True,True,True,0.005,0.01,0.007,-2.049046561070078e-05,0.00011111563831711635,-2.3560341798178897e-05,True,0,
relaxed,False,tinyml_mlp,P50-noFT,compressed_candidate,float32,True,False,False,False,False,True,3,True,True,True,0.005,0.01,0.007,0.2167531168561051,0.34321160824313823,0.17466852388372922,False,4,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,P50-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,3,True,True,True,0.005,0.01,0.007,0.00029497128675737283,0.000489700801963644,0.0005463307033787279,True,0,
relaxed,False,tinyml_mlp,DQ,compressed_candidate,dynamic_int8,True,False,False,False,False,True,1,True,False,False,0.005,0.01,0.007,0.15869928928252464,0.16852675239104087,0.1933099723296452,False,4,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.005,0.01,0.007,0.001038205670138459,0.0015393966604354548,0.0009907053243045638,True,0,
relaxed,False,tinyml_mlp,P25-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.005,0.01,0.007,0.001186291643116455,0.0016187564323267845,0.001390905325969305,True,0,
relaxed,False,tinyml_mlp,P50-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.005,0.01,0.007,0.001393040557715941,0.002246463325223047,0.0015090728660732688,True,0,
relaxed,False,tinyml_mlp,PTQ,compressed_candidate,static_int8,True,True,False,False,False,True,1,True,False,False,0.005,0.01,0.007,0.005398274526789315,0.01877515674443231,0.008100539039438859,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,compact_dnn,B0,baseline_reference,float32,False,True,True,True,True,False,0,False,False,False,0.005,0.01,0.007,0.0,0.0,0.0,False,2,candidate_role;deployment_improvement
relaxed,False,compact_dnn,FP32-FT,uncompressed_control,float32,False,True,True,True,True,False,0,False,False,False,0.005,0.01,0.007,-1.581612188783499e-05,3.726443534168844e-05,-2.507165010889878e-05,False,2,candidate_role;deployment_improvement
relaxed,False,compact_dnn,P25-noFT,compressed_candidate,float32,True,True,True,True,True,True,2,True,False,True,0.005,0.01,0.007,0.0004299064427210064,0.0007345232194437834,-0.00016868253989688053,True,0,
relaxed,False,compact_dnn,P25-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,2,True,False,True,0.005,0.01,0.007,8.33285120384053e-05,0.0001499886913720605,0.0001721076831955326,True,0,
relaxed,False,compact_dnn,P50-noFT,compressed_candidate,float32,True,False,False,False,False,True,2,True,False,True,0.005,0.01,0.007,0.08101426822651858,0.3215203724946807,0.051823161455709976,False,4,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,compact_dnn,P50-FP32-FT,compressed_candidate,float32,True,True,True,True,True,True,3,True,True,True,0.005,0.01,0.007,0.00045681955734921953,0.0005996951923764593,0.0005769367044059504,True,0,
relaxed,False,compact_dnn,DQ,compressed_candidate,dynamic_int8,True,True,False,False,False,True,1,True,False,False,0.005,0.01,0.007,0.09383850803015259,0.11447202836193981,0.1163465011251954,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,compact_dnn,QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.005,0.01,0.007,0.001153493723294985,0.0020880175654773847,0.0008472926285966187,True,0,
relaxed,False,compact_dnn,P25-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.005,0.01,0.007,0.0010166886493138128,0.0012147359499181665,0.000983456668523286,True,0,
relaxed,False,compact_dnn,P50-QAT,compressed_candidate,static_int8,True,True,True,True,True,True,1,True,False,False,0.005,0.01,0.007,0.0016363633041569514,0.001970568082962476,0.0018347859870055938,True,0,
relaxed,False,compact_dnn,PTQ,compressed_candidate,static_int8,True,True,True,False,True,True,1,True,False,False,0.005,0.01,0.007,0.0038641058781394566,0.010120999961309773,0.005704207695391261,False,1,worst_seed_macro_f1_loss
