architecture,variant,seed,best_epoch,epochs_completed,best_validation_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,parameter_count,linear_macs_per_sample,validation_repeat_seconds,test_evaluation_count,test_model_inference_repeated,fragility_gate_triggered,run_directory,checkpoint_sha256,metrics_sha256,run_manifest_sha256,all_checks_passed
compact_dnn,FP32-FT,42,1,4,0.9992175580348248,0.999141552327956,0.9995212428320908,0.9978100064501629,0.002315905970118659,0.00022765893439358198,25283,25056,0.4074918000260368,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_42,d868f92d17f722984bacc8171c43214e4aa74f3f0e50b60b83c5b10aff1499bc,abc6102d4b0f4b40bebbbd2a72e26609e8ae9af35cda844e9bf56b1b932efd79,765798216cf31e7ec8f198d8aa7659758a59593007f3c4d1b061437a21159355,True
compact_dnn,FP32-FT,123,1,4,0.9992253286994376,0.9991407487326659,0.9995266221261122,0.9979391471437865,0.0022544217408234646,0.00019107089136605193,25283,25056,0.37434069998562336,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_123,7bd919cd6aa34815b6f63491eddcf1160eafd2c920974c38845c4827cd6ce46c,6ffdf44d3844f412b251a594afbc4518845acddcaea064b410096330e05d984a,6b15145df25e4b4b2da70fe9ad6c504c3af24f9f399584bfe1484d22071a4ab5,True
compact_dnn,FP32-FT,2026,1,4,0.999361927250444,0.9993329942635754,0.9996342080065412,0.9980810493531945,0.0021109585391346775,0.00010163345285429948,25283,25056,0.41220400005113333,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_2026,641ef852c91e8924a4f83b2323a55e63328409c8dc0dacbfc89934ae17c2f30a,aa24912d66d8ddb0a56bcd1513a7da108751006912322fb73cfd880c26dc0223,8bede9894d43474dd72446c8d260b8d70e6c8e6ae6177237c0a1e1ae5de6b673,True
compact_dnn,FP32-FT,3407,1,4,0.9993508001971353,0.9993091637981878,0.9996234494184983,0.9979776897602232,0.0022134322546266683,9.756811474015414e-05,25283,25056,0.36762799997814,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_3407,fb529c2f7efbaafa9359a9eae14e8ac74fc2ff076d4db2a6ef8fc5d94730a7f2,515e3714f3de82c894aa8da7fed2e3e8656fd76883104211ba0034dcf9893d5d,d5c5d4113e63f842121f974ade4cf668e0a3a2d993c0c126a77c96043bf7e013,True
compact_dnn,FP32-FT,8192,1,4,0.9994721781534025,0.9993736887110457,0.9996503458886056,0.998289451354056,0.0019470005943476032,8.130676228346179e-05,25283,25056,0.41618079994805157,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_8192,c01a2a736487d2fbe72dec52269b0980846af2b96b616434a5a0262cc5b698d2,3fb19bfe51922871c242233cbef4f2e794e2365a5213fc2b71e1fd7c9b451650,19911ce0dbd49e6c0df5205f9818ec9a167af9a75e621189dfe576c714bc1c5c,True
tinyml_mlp,FP32-FT,42,1,4,0.9993294193240182,0.9993424665082218,0.9996395873005627,0.9983019010746847,0.001783042649560418,0.0001463521721101202,9603,9504,0.3359233000082895,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_42,c122f7f7ff5a608763116e874f3cd83ac15399763e76baba4606c1cecdbb219c,ac8807607d5c79e7ba9de8966cf3303abc7eefb67ab945517b8d69870e0b38f7,66992411205c44d9a80c7a7f092a2299fb100f444e0e62f0c610ee6b72596924,True
tinyml_mlp,FP32-FT,123,1,4,0.999465152958317,0.9994444073042175,0.9996933802407773,0.998436817821267,0.0017420531633636216,9.756811474015414e-05,9603,9504,0.34235359996091574,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_123,02753d13ee1079f5d92536b02cc57e207d4e3025082f691614d9280b24231e98,2c6a0a799d79cbcbcd31c68bd7456523d19f597f6a2874fb91910214774bf8bf,32a9c7f2599d3aca827889ee29fc35f5213291c410ee34f7869bf8b5e5e884a6,True
tinyml_mlp,FP32-FT,2026,1,4,0.9994242315532261,0.9993836172531619,0.999655725182627,0.9983723885863697,0.0018855163650524087,9.350277662589779e-05,9603,9504,0.3430112999631092,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_2026,468e5cc69a518f5088c75e8136b721204481d5286c960f9ef033c9f3253af824,7bde4c267ad2a78bd42d39522ab1a5db3380ad95d2ceca1dd62d85ca7f84e36f,2424aec5d07741c767fd905a15ffafe7e917f4ce5015ee661e339cda18b1bf30,True
tinyml_mlp,FP32-FT,3407,1,4,0.9994258010383309,0.9993624881027546,0.9996503458886056,0.9982257858732687,0.002049474309839483,9.350277662589779e-05,9603,9504,0.3348735000472516,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_3407,28a0a908715fb4caa7cadee0012a7374c83ecc521a1abf659a9686aee29454b3,3b961eb6b46bddbb69b3b7cc274d808901a77d541c1a12790b0c715fff6bcd0a,1ce334afe9918520fe4480bfba34175f780af72d05c4001d164b4709dc619868,True
tinyml_mlp,FP32-FT,8192,1,4,0.9994347449567399,0.9994019307016929,0.9996637941236592,0.9982999140240872,0.0019060111081508069,9.756811474015414e-05,9603,9504,0.3536356999538839,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\fp32_ft\seed_8192,25f5ee7510310936a126e48636f5b54508e04b6a134e0060ef0a6fd6dbb02fe6,1970ee86f0e5d0929f3822f08d7956450a521901e2316778f69d48711976ff15,627aee3eda9459b39e8f2da3e3a59402cd24378a72a0df5a80aa976e40343440,True
